,rid,uniqueid,identifier,locationidentifier,country,countrycode,stationname,stationcode,parameter,label,unit,interval,utcoffset,correctedstarttime,starttime,correctedendtime,endtime,river,stationshortname,latitude,longitude
3,28,2c070f6a900b41e7ad19bafef374f52d,Water Level.Telemetry@KH_033401_[Chaktomuk],KH_033401_[Chaktomuk],Cambodia,KH,Chaktomuk,33401,Water Level,Telemetry,m,15 minutes,7,8/1/08 14:15,20080801,3/19/21 5:30,20210319,Bassac,,11.56299019,104.9352875
37,171,93337ffe7838467289bf5b55401ee6f8,Water Level.Manual@KH_450101_[Lumphat],KH_450101_[Lumphat],Cambodia,KH,Lumphat,450101,Water Level,Manual,m,1-6 times p/day,7,1/1/65 0:00,19650101,3/15/21 0:00,20210315,Sre Pok,,13.50088024,106.9711533
40,179,b5da800e9c8e4346a3b8d9d6daa73e0a,Water Level.Manual@KH_019802_[Kompong Cham],KH_019802_[Kompong Cham],Cambodia,KH,Kompong Cham,19802,Water Level,Manual,m,1-6 times p/day,7,1/1/30 0:00,19300101,3/15/21 0:00,20210315,Mekong,,11.91098617,105.3841017
158,13,cd94408bcf944bc88033cf05675034fd,Water Level.Manual@KH_020101_[Phnom Penh Port],KH_020101_[Phnom Penh Port],Cambodia,KH,Phnom Penh Port,20101,Water Level,Manual,m,1-6 times p/day,7,1/1/60 0:00,19600101,3/15/21 0:00,20210315,Tonle Sap,,11.57702027,105.9190383
216,17,53359074bfcf4961866daac9fbee8292,Water Level.Manual@KH_600101_[Kompong Chen],KH_600101_[Kompong Chen],Cambodia,KH,Kompong Chen,600101,Water Level,Manual,m,1-6 times p/day,7,4/1/62 0:00,19620401,3/15/21 0:00,20210315,Stung Staung,,12.93890564,105.5790613
293,70,7f84c4d851a543d1a5eccc53947e0d3c,Water Level.Manual@KH_033401_[Chaktomuk],KH_033401_[Chaktomuk],Cambodia,KH,Chaktomuk,33401,Water Level,Manual,m,1-6 times p/day,7,1/1/60 0:00,19600101,3/15/21 0:00,20210315,Bassac,,11.56299019,104.9352875
556,140,549c7f63d6dc4392b233b2049bd23d11,Water Level.Manual@KH_620101_[Kg. Thmar],KH_620101_[Kg. Thmar],Cambodia,KH,Kg. Thmar,620101,Water Level,Manual,m,1-6 times p/day,7,4/1/62 0:00,19620401,3/15/21 0:00,20210315,Stung Chinit,,12.50293455,105.1271259
624,124,81e259eb15f64135834fe9e388ee7fbb,Water Level.Manual@KH_020102_[Prek Kdam],KH_020102_[Prek Kdam],Cambodia,KH,Prek Kdam,20102,Water Level,Manual,m,1-6 times p/day,7,1/1/60 0:00,19600101,3/15/21 0:00,20210315,Tonlesap,pre,11.81116962,104.806778
636,168,d177b0f2dae547ceb9bc7c23ef2970ae,Water Level.Manual@KH_440102_[Voeun Sai],KH_440102_[Voeun Sai],Cambodia,KH,Voeun Sai,440102,Water Level,Manual,m,1-6 times p/day,7,1/1/65 0:00,19650101,3/12/21 0:00,20210312,Sesan,,13.96858025,106.8848267
643,178,80f37a12822e4a0e9cf1cc59cdd1acc5,Water Level.Manual@KH_020103_[Kg. Chhnang],KH_020103_[Kg. Chhnang],Cambodia,KH,Kg. Chhnang,20103,Water Level,Manual,m,1-6 times p/day,7,1/1/20 0:00,19200101,3/15/21 0:00,20210315,Tonle Sap,,12.2529628,105.6820587
661,174,833308f8dc54454fbd5d5b412debf55a,Water Level.Manual@KH_020106_[Kompong Luong],KH_020106_[Kompong Luong],Cambodia,KH,Kompong Luong,20106,Water Level,Manual,m,1-6 times p/day,7,1/1/23 0:00,19230101,3/15/21 0:00,20210315,Tonlesap,,12.5766201,104.2077866
790,1622,aaebd95890ca49b9b5b5a82699159d6d,Water Level.Telemetry@KH_610101_[Kompong Thom],KH_610101_[Kompong Thom],Cambodia,KH,Kompong Thom,610101,Water Level,Telemetry,m,15 minutes,7,7/17/08 7:45,20080717,3/19/21 5:30,20210319,Stung San,,12.7148304,104.8879166
805,1649,e821b15baedd4af2a4ecde624b3bc976,Water Level.Telemetry@KH_440102_[Voeun Sai],KH_440102_[Voeun Sai],Cambodia,KH,Voeun Sai,440102,Water Level,Telemetry,m,15 minutes,7,3/21/09 8:30,20090321,3/19/21 5:30,20210319,Sesan,,13.96858025,106.8848267
818,1396,5794c0c5c5c045639e0efa1540466828,Water Level.Telemetry@KH_430102_[Siempang],KH_430102_[Siempang],Cambodia,KH,Siempang,430102,Water Level,Telemetry,m,15 minutes,7,3/23/09 6:00,20090323,3/19/21 5:30,20210319,Sekong,,14.11513996,106.3879471
824,1661,0c55bc1fb44e4caf881226bbf8a6e62a,Water Level.Manual@KH_019806_[Neak Luong],KH_019806_[Neak Luong],Cambodia,KH,Neak Luong,19806,Water Level,Manual,m,1-6 times p/day,7,1/1/26 0:00,19260101,3/15/21 0:00,20210315,Mekong,,11.26303677,105.2801239
834,1389,5a7037f272c745d5bcafcc16a5c2f89c,Water Level.Telemetry@KH_020102_[Prek Kdam],KH_020102_[Prek Kdam],Cambodia,KH,Prek Kdam,20102,Water Level,Telemetry,m,15 minutes,7,7/17/10 13:00,20100717,3/19/21 5:15,20210319,Tonlesap,pre,11.81116962,104.806778
943,1645,39b735a5de5c440cb0bc789fb9fdd544,Water Level.Telemetry@KH_014901_[Kratie],KH_014901_[Kratie],Cambodia,KH,Kratie,14901,Water Level,Telemetry,m,15 minutes,7,7/20/10 21:45,20100720,3/19/21 5:15,20210319,Mekong,kra,12.48141003,106.0176163
1021,103,fca7bee14dcf43a59263158f18a88509,Water Level.Manual@KH_014901_[Kratie],KH_014901_[Kratie],Cambodia,KH,Kratie,14901,Water Level,Manual,m,1-6 times p/day,7,1/8/33 0:00,19330108,3/15/21 0:00,20210315,Mekong,kra,12.48141003,106.0176163
1189,101,64758ae8f24a46759d962ab9a2dea27a,Water Level.Manual@KH_033402_[Koh Khel],KH_033402_[Koh Khel],Cambodia,KH,Koh Khel,33402,Water Level,Manual,m,1-6 times p/day,7,9/5/90 0:00,19900905,3/15/21 0:00,20210315,Bassac,,11.24203528,105.0361553
1352,1630,000e84564d1b425ebcc2c2292ed14061,Water Level.Manual@KH_014501_[Stung Treng],KH_014501_[Stung Treng],Cambodia,KH,Stung Treng,14501,Water Level,Manual,m,1-6 times p/day,7,1/1/10 0:00,19100101,3/15/21 0:00,20210315,Mekong,str,13.53250027,105.9501877
1422,1675,8456239a6baf4221a744886c8cb6efd3,Water Level.Telemetry@KH_550102_[Battambang],KH_550102_[Battambang],Cambodia,KH,Battambang,550102,Water Level,Telemetry,m,15 minutes,7,3/18/09 11:00,20090318,3/19/21 5:30,20210319,Sangker,,13.09200001,103.2002792
1659,1494,0a723f8802e44a6bb12c08dcf1816a83,Water Level.Telemetry@KH_014501_[Stung Treng],KH_014501_[Stung Treng],Cambodia,KH,Stung Treng,14501,Water Level,Telemetry,m,15 minutes,7,7/20/10 9:45,20100720,3/19/21 5:00,20210319,Mekong,str,13.53250027,105.9501877
2611,1642,bbb82ca93f6d4b98b3150a27da44268f,Water Level.Telemetry@KH_020106_[Kompong Luong],KH_020106_[Kompong Luong],Cambodia,KH,Kompong Luong,20106,Water Level,Telemetry,m,15 minutes,7,7/19/10 9:15,20100719,3/19/21 5:15,20210319,Tonlesap,,12.5766201,104.2077866
2765,1411,75ba98758e7c4eb3b105f733db150307,Water Level.Manual@KH_570101_[Kompong Kdei],KH_570101_[Kompong Kdei],Cambodia,KH,Kompong Kdei,570101,Water Level,Manual,m,1-6 times p/day,7,4/2/62 0:00,19620402,3/15/21 0:00,20210315,St. Chikreng,,13.12888639,105.3350896
3020,1656,6955b9585cc94524bcff184034e4afd3,Water Level.Telemetry@KH_450101_[Lumphat],KH_450101_[Lumphat],Cambodia,KH,Lumphat,450101,Water Level,Telemetry,m,15 minutes,7,4/1/09 16:15,20090401,3/19/21 5:15,20210319,Sre Pok,,13.50088024,106.9711533
3572,1751,f08efea6bd684203ab33c5a316e2459a,Water Level.Telemetry@KH_530101_[Sisophon],KH_530101_[Sisophon],Cambodia,KH,Sisophon,530101,Water Level,Telemetry,m,15 minutes,7,6/28/09 2:15,20090628,3/19/21 5:30,20210319,Stung  Mongkolborey,,13.58664989,102.9766083